DATES,OPEN,ADJ_CLOSE
2015-11-05,,
2015-11-06,277,273
2015-11-09,273,280
2015-11-10,,
2015-11-16,280,280
2015-11-17,,
2015-11-18,280,279
2015-11-19,279,279
2015-11-20,279,280
2015-11-23,280,280
2015-11-24,280,280
2015-11-26,,
2015-11-27,,
2015-11-30,280,280
2015-12-01,,
2015-12-02,280,280
2015-12-03,280,280
2015-12-04,280,280
2015-12-08,280,280
2015-12-09,280,280
2015-12-10,,
2015-12-11,280,280
2015-12-14,280,280
2015-12-16,280,280
2015-12-17,280,280
2015-12-22,280,280
2015-12-23,280,280
2015-12-24,280,280
2015-12-25,280,280
2015-12-29,,
2015-12-30,280,280
2015-12-31,280,280
2016-01-06,280,280
2016-01-11,280,280
2016-01-12,280,280
2016-01-13,,
2016-01-14,280,280
2016-01-15,280,280
2016-01-18,280,280
2016-01-19,280,280
2016-01-20,280,280
2016-01-21,280,280
2016-01-22,280,280
2016-01-25,,
2016-01-26,280,280
2016-01-28,280,280
2016-01-29,280,280
2016-02-02,280,280
2016-02-04,,
2016-02-05,280,280
2016-02-09,280,280
2016-02-10,280,280
2016-02-11,280,280
2016-02-12,,
2016-02-16,280,280
2016-02-17,280,280
2016-02-19,280,280
2016-02-22,280,280
2016-02-23,280,280
2016-02-24,,
2016-02-25,280,280
2016-02-26,280,280
2016-02-29,280,280
2016-03-01,,
2016-03-03,,
2016-03-04,280,280
2016-03-11,280,280
2016-03-15,280,280
2016-03-16,280,280
2016-03-18,,
2016-03-21,280,280
2016-03-22,,
2016-03-23,280,280
2016-03-28,280,280
2016-03-30,,
2016-03-31,,
2016-04-05,280,280
2016-04-06,,
2016-04-08,280,280
2016-04-10,280,279
2016-04-11,,
2016-04-12,279,280
2016-04-14,280,280
2016-04-15,280,279
2016-04-18,,
2016-04-20,280,280
2016-04-21,,
2016-04-22,280,279
2016-04-25,279,280
2016-04-26,,
2016-04-28,280,280
2016-05-04,280,280
2016-05-05,,
2016-05-06,280,280
2016-05-09,280,280
2016-05-10,280,280
2016-05-11,280,290
2016-05-12,290,290
2016-05-13,290,280
2016-05-17,,
2016-05-18,280,280
2016-05-19,,
2016-05-20,280,280
2016-05-24,280,280
2016-05-26,280,280
2016-05-27,280,280
2016-05-30,280,280
2016-05-31,280,280
2016-06-01,280,290
2016-06-02,290,290
2016-06-03,,
2016-06-06,290,290
2016-06-08,290,290
2016-06-10,290,290
2016-06-14,290,280
2016-06-15,,
2016-06-17,280,280
2016-06-20,280,284
2016-06-24,,
2016-06-28,284,280
2016-06-30,280,280
2016-07-07,280,280
2016-07-08,280,280
2016-07-11,280,279
2016-07-12,279,280
2016-07-13,280,279
2016-07-14,279,279
2016-07-18,,
2016-07-19,,
2016-07-20,,
2016-07-21,279,275
2016-07-22,275,275
2016-07-25,275,275
2016-07-26,275,275
2016-07-27,275,276
2016-07-28,,
2016-07-29,276,275
2016-08-01,275,280
2016-08-02,,
2016-08-03,280,275
2016-08-04,275,275
2016-08-08,,
2016-08-09,275,274
2016-08-11,274,273
2016-08-16,273,273
2016-08-17,,
2016-08-18,273,273
2016-08-19,270,270
2016-08-22,,
2016-08-23,273,270
2016-08-24,,
2016-08-25,270,270
2016-08-31,,
2016-09-01,,
2016-09-02,270,270
2016-09-07,270,270
2016-09-13,269,270
2016-09-20,,
2016-09-22,270,270
2016-09-23,,
2016-09-28,265,265
2016-09-29,267,264
2016-09-30,,
2016-10-03,,
2016-10-04,264,268
2016-10-05,268,268
2016-10-06,266,266
2016-10-07,263,263
2016-10-10,263,268
2016-10-12,,
2016-10-14,263,268
2016-10-19,,
2016-10-20,263,264
2016-10-24,,
2016-10-28,259,260
2016-11-01,255,255
2016-11-03,245,253
2016-11-08,,
2016-11-10,245,245
2016-11-11,244,245
2016-11-15,242,243
2016-11-17,241,242
2016-11-18,,
2016-11-21,238,238
2016-11-22,238,238
2016-11-24,237,237
2016-11-29,235,235
2016-11-30,235,235
2016-12-01,234,234
2016-12-05,,
2016-12-06,229,228
2016-12-07,220,228
2016-12-08,228,228
2016-12-09,228,228
2016-12-13,,
2016-12-14,228,235
2016-12-15,228,228
2016-12-16,,
2016-12-21,228,228
2016-12-22,,
2016-12-23,228,228
2016-12-28,,
2016-12-29,,
2017-01-03,228,228
2017-01-04,228,228
2017-01-05,228,228
2017-01-09,228,228
2017-01-11,228,228
2017-01-12,228,228
2017-01-13,228,228
2017-01-16,228,228
2017-01-17,228,228
2017-01-19,228,228
2017-01-20,228,228
2017-01-23,228,228
2017-01-24,228,228
2017-01-25,228,228
2017-01-26,228,228
2017-01-27,228,228
2017-02-02,228,228
2017-02-03,228,228
2017-02-06,228,230
2017-02-07,230,230
2017-02-08,,
2017-02-09,230,231
2017-02-10,231,232
2017-02-13,232,234
2017-02-14,234,234
2017-02-15,234,236
2017-02-16,236,240
2017-02-21,,
2017-02-22,240,240
2017-02-27,240,243
2017-03-03,243,243
2017-03-08,243,245
2017-03-09,245,245
2017-03-15,,
2017-03-16,245,242
2017-03-17,,
2017-03-21,242,245
2017-03-22,245,250
2017-03-24,250,250
2017-03-27,250,250
2017-03-28,,
2017-03-31,,
2017-04-06,250,245
2017-04-11,245,245
2017-04-12,245,245
2017-04-13,245,245
2017-04-21,245,245
2017-04-24,245,244
2017-04-26,,
2017-04-27,244,245
2017-05-02,245,240
2017-05-04,240,244
2017-05-11,244,245
2017-05-15,245,245
2017-05-16,243,244
2017-05-18,245,245
2017-05-19,242,245
2017-05-22,244,244
2017-05-24,245,245
2017-05-25,,
2017-05-26,242,245
2017-05-30,,
2017-05-31,,
2017-06-02,242,245
2017-06-05,,
2017-06-06,244,245
2017-06-07,242,245
2017-06-09,245,245
2017-06-13,245,245
2017-06-14,245,245
2017-06-15,,
2017-06-16,242,245
2017-06-19,245,245
2017-06-21,245,245
2017-06-22,245,245
2017-06-23,,
2017-06-27,245,245
2017-06-28,245,245
2017-06-29,245,245
2017-06-30,242,245
2017-07-05,245,245
2017-07-06,245,245
2017-07-07,247,247
2017-07-11,245,247
2017-07-12,,
2017-07-14,246,250
2017-07-17,,
